"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(31.96667, -4.41667)",3,71.2,5.1,46.93,2000,2000,2000.00
"(-76.68861, 159.36889)",3,4.2,2.5,3.20,1981,1981,1981.00
"(-72.9833, 75.2494)",3,1.28,0.46,0.74,2003,2003,2003.00
"(26.95, 16.46667)",3,616,21,222.33,1999,1999,1999.00
"(-76.70306, 159.39278)",3,68.1,2.6,40.13,1979,1979,1979.00
"(-87.03333, -148.0)",3,311.5,84.3,198.27,1998,1998,1998.00
"(-72.78111, 75.29222)",3,13.26,3.44,9.56,2003,2003,2003.00
"(-72.77472, 75.32361)",3,336,2.58,114.01,2006,2003,2004.00
"(-24.0, -69.0)",2,1300,392,846.00,1888,1858,1873.00
"(-72.775, 75.32972)",2,10.42,0.38,5.40,2003,2003,2003.00
"(30.25, -4.41667)",2,1000,989,994.50,2000,2000,2000.00
"(-72.783333, 75.295278)",2,1.55,1.2,1.38,2006,2006,2006.00
"(34.28333, -101.83333)",2,14402,12000,13201.00,1981,1955,1968.00
"(-76.27543, 156.50174)",2,211.3,5.8,108.55,1987,1987,1987.00
"(-72.89964, 161.12836)",2,929.3,365.3,647.30,2003,2003,2003.00
"(-72.978889, 75.260833)",2,3.27,1.79,2.53,2003,2003,2003.00
"(36.45, -104.1)",2,490,270,380.00,1951,1951,1951.00
"(-72.95556, 160.43417)",2,9.09,2.26,5.68,1993,1993,1993.00
"(-71.72639, 35.975)",2,1719.7,23.2,871.45,1974,1974,1974.00
"(30.19267, -9.03667)",2,8012,2875,5443.50,2001,2001,2001.00
"(-73.0, 75.2)",2,40.5,24.7,32.60,2003,2003,2003.00
"(-72.996944, 75.218333)",2,11.9,5.08,8.49,2006,2006,2006.00
"(27.68333, 4.33333)",2,427,98,262.50,1990,1989,1989.50
"(30.9, -3.96667)",2,8350,192,4271.00,1999,1999,1999.00
"(27.05, 16.38333)",2,110,23,66.50,1999,1999,1999.00
"(-76.75, 159.33333)",2,20151,252,10201.50,1977,1976,1976.50
"(-72.98333, 75.24944)",2,0.65,0.54,0.60,2003,2003,2003.00
"(27.66667, 4.25)",2,3130,206,1668.00,1990,1989,1989.50
"(34.45, -104.01667)",2,25000,641,12820.50,1984,1934,1959.00
"(-72.783889, 75.2725)",2,1.41,0.83,1.12,2006,2006,2006.00
"(-72.98917, 160.40889)",2,2.8,0.7,1.75,1995,1995,1995.00
"(37.26667, -99.33333)",2,18400,16000,17200.00,1924,1923,1923.50
"(29.81858, 12.94647)",2,2197,710,1453.50,2003,2003,2003.00
"(-72.776111, 75.334167)",2,5.27,1.83,3.55,2006,2006,2006.00
"(35.296, -117.472)",2,22.2,19.5,20.85,2008,2008,2008.00
"(-84.28652, 161.34567)",2,4.2,3.8,4.00,1988,1988,1988.00
"(-72.775, 75.32917)",2,40.56,2.16,21.36,2003,2003,2003.00
"(-84.2737, 161.69159)",2,24.1,7,15.55,1986,1986,1986.00
"(-72.95556, 160.46457)",2,7.7,7.5,7.60,1990,1990,1990.00
"(-76.70522, 158.77838)",2,61.7,6,33.85,2006,2006,2006.00
"(-72.95312, 160.49633)",2,13.7,11.7,12.70,2009,2009,2009.00
"(-72.78111, 75.32833)",2,118.69,15.33,67.01,2006,2006,2006.00
"(-72.77361, 75.34222)",2,2.05,0.46,1.26,2003,2003,2003.00
"(-72.95596, 160.43857)",2,80.8,9.46,45.13,1990,1990,1990.00
"(-72.77722, 75.33806)",2,1.83,1.34,1.59,2003,2003,2003.00
"(-72.99667, 75.21806)",2,128.89,4.23,66.56,2006,2003,2004.50
"(-76.68917, 159.36417)",2,0.6,0.5,0.55,1981,1981,1981.00
"(27.75, 4.43333)",2,604,200,402.00,1990,1990,1990.00
