"year","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
1951,20,755000,4,76127.42,1951,1951,1951.0
1944,20,529000,7.7,32809.78,1944,1944,1944.0
1916,20,256000,10,20214.28,1916,1916,1916.0
1910,20,17000,212.5,6647.22,1910,1910,1910.0
1930,20,16000000,470,935695.14,1930,1930,1930.0
1890,20,600000,105,93267.75,1890,1890,1890.0
1948,20,1100000,230,75001.03,1948,1948,1948.0
1942,20,500000,50,42231.45,1942,1942,1942.0
1917,19,700000,0.15,86573.45,1917,1917,1917.0
1947,19,23000000,150,1261147.58,1947,1947,1947.0
1935,19,94000,130,15984.12,1935,1935,1935.0
1924,18,2300000,82,151184.56,1924,1924,1924.0
1958,18,9500000,9.69,540085.54,1958,1958,1958.0
1952,18,582000,28,52637.46,1952,1952,1952.0
1957,18,275000,18,41957.07,1957,1957,1957.0
1914,18,290000,294,43764.11,1914,1914,1914.0
1921,18,2184000,30,246710.65,1921,1921,1921.0
1925,18,200000,16.7,22520.69,1925,1925,1925.0
1900,17,37500,3.5,6139.56,1900,1900,1900.0
1898,17,28000000,6.2,1655723.15,1898,1898,1898.0
1923,16,454000,560,49740.0,1923,1923,1923.0
1928,16,40500,0.1,8548.41,1928,1928,1928.0
1868,16,250000,96,28354.25,1868,1868,1868.0
1907,16,309000,375,38405.5,1907,1907,1907.0
1927,16,430000,531,75370.56,1927,1927,1927.0
1959,16,200000,30,28211.39,1959,1959,1959.0
1922,15,1600000,12,119175.33,1922,1922,1922.0
1880,15,58000,21,13009.57,1880,1880,1880.0
1888,15,244500,108,26608.47,1888,1888,1888.0
1889,15,194000,1.2,45811.01,1889,1889,1889.0
1863,15,22000000,560,1645900.67,1863,1863,1863.0
1929,15,525000,129.9,53673.53,1929,1929,1929.0
